poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
355	200	67.417	66.920	67.859	0.017	0.006	0.033
360	200	83.165	82.213	84.028	0.017	0.008	0.035
365	200	78.313	77.865	78.734	0.012	0.005	0.027
370	200	80.557	79.906	81.071	0.012	0.004	0.028
375	200	85.115	84.710	85.591	0.015	0.004	0.038
380	200	89.236	88.818	89.862	0.016	0.004	0.040
385	200	94.252	93.937	94.879	0.009	0.004	0.020
390	200	99.543	99.110	100.290	0.016	0.004	0.039
395	200	100.111	99.355	101.424	0.011	0.004	0.025
400	200	108.444	107.978	109.279	0.012	0.004	0.029
405	200	112.124	111.502	113.083	0.015	0.004	0.036
410	200	115.697	115.017	116.913	0.015	0.004	0.035
415	200	118.286	117.129	120.043	0.014	0.004	0.033
420	200	122.513	121.235	124.144	0.015	0.004	0.036
425	200	127.817	126.213	129.606	0.015	0.004	0.037
430	200	131.172	129.858	132.900	0.012	0.004	0.029
435	200	133.237	131.927	135.098	0.013	0.004	0.032
440	200	137.096	135.221	139.873	0.012	0.004	0.026
445	200	140.775	139.275	143.747	0.011	0.004	0.025
450	200	144.901	143.430	147.620	0.016	0.004	0.040
455	200	148.380	146.725	151.429	0.011	0.004	0.023
460	200	152.096	150.446	155.146	0.012	0.004	0.027
465	200	154.107	152.289	157.368	0.012	0.004	0.026
470	200	154.666	153.030	157.559	0.016	0.004	0.040
475	200	159.767	157.863	162.972	0.014	0.004	0.033
480	200	165.222	162.804	168.088	0.017	0.004	0.040
485	200	167.440	165.246	170.397	0.012	0.005	0.022
490	200	170.720	167.383	174.792	0.014	0.007	0.027
495	200	177.910	174.352	182.331	0.013	0.007	0.023
500	200	176.421	173.750	180.301	0.014	0.006	0.023
505	200	179.407	175.704	184.005	0.019	0.005	0.032
510	200	185.738	181.676	190.961	0.020	0.005	0.033
515	200	184.020	180.259	188.155	0.020	0.004	0.032
520	200	187.820	183.944	192.503	0.027	0.005	0.048
525	200	188.693	184.801	193.134	0.017	0.004	0.031
530	200	189.098	185.541	193.630	0.015	0.004	0.032
535	200	192.224	188.864	196.615	0.010	0.004	0.020
540	200	194.722	191.898	198.831	0.013	0.004	0.025
545	200	195.340	192.458	199.423	0.012	0.004	0.028
550	200	199.113	196.668	203.268	0.018	0.004	0.044
555	200	201.817	198.672	206.071	0.012	0.005	0.025
560	200	203.914	200.949	208.138	0.016	0.004	0.039
565	200	204.614	201.570	208.783	0.016	0.004	0.040
570	200	208.629	205.156	213.646	0.012	0.004	0.023
575	200	212.754	209.174	218.232	0.017	0.004	0.033
580	200	216.137	212.535	221.590	0.018	0.004	0.036
585	200	223.028	219.972	227.962	0.022	0.004	0.038
590	200	227.877	223.223	232.385	0.027	0.004	0.044
595	200	229.845	225.818	233.357	0.021	0.012	0.032
600	200	242.668	241.835	243.784	0.021	0.010	0.042
605	200	254.203	254.091	254.316	0.020	0.009	0.035
610	200	257.488	256.327	258.141	0.032	0.007	0.046
615	200	266.911	265.434	268.887	0.020	0.008	0.026
620	200	256.718	255.150	257.619	0.024	0.005	0.040
625	200	246.828	246.249	247.556	0.035	0.006	0.066
630	200	235.468	233.368	238.693	0.017	0.005	0.024
635	200	235.132	232.472	238.400	0.017	0.004	0.026
640	200	236.646	234.694	240.005	0.016	0.005	0.030
645	200	237.624	236.073	240.422	0.013	0.004	0.026
650	200	237.220	235.840	239.730	0.012	0.004	0.027
655	200	239.111	237.790	241.485	0.008	0.004	0.016
660	200	240.635	239.488	242.347	0.015	0.004	0.036
665	200	241.328	239.893	243.340	0.011	0.004	0.024
670	200	242.947	241.554	245.175	0.011	0.004	0.021
675	200	247.225	246.880	247.541	0.012	0.004	0.024
680	200	246.970	246.659	247.392	0.014	0.004	0.024
685	200	248.054	247.815	248.487	0.018	0.004	0.036
690	200	250.374	249.865	250.744	0.013	0.005	0.018
695	200	253.291	253.265	253.306	0.016	0.005	0.030
700	200	251.902	250.705	252.649	0.023	0.006	0.044
705	200	257.959	257.828	258.107	0.016	0.009	0.027
710	200	257.079	256.017	258.554	0.015	0.006	0.029
